pdg_id,pdg_name,name,charge,rank,quarks,mass,mass_lower,mass_upper,width,width_lower,width_upper

-2212,p,anti_proton,-1.0,4,UUD,938.27208816,2.9e-07,2.9e-07,0.0,0.0,0.0

-2112,n,anti_neutron,0.0,4,UDD,939.5654205,5e-07,5e-07,7.493e-25,4e-28,4e-28

-321,K,kaon-,-1.0,0,Us,493.677,0.016,0.016,5.317e-14,9e-17,9e-17

-211,pi,pion,-1.0,0,Ud,139.57039,0.00018,0.00018,2.5284e-14,5e-18,5e-18

-24,W,W-,-1.0,0,-,80379.0,12.0,12.0,2080.0,40.0,40.0

-16,nu(tau),anti_tau_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0

-15,tau,anti_tau,1.0,0,-,1776.86,0.12,0.12,2.267e-09,4e-12,4e-12

-14,nu(mu),anti_muon_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0

-13,mu,anti_muon,1.0,0,-,105.6583755,2.3e-06,2.3e-06,2.9959836e-16,3e-22,3e-22

-12,nu(e),anti_electron_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0

-11,e,anti_electron (positron),1.0,0,-,0.51099895,1.5e-10,1.5e-10,0.0,0.0,0.0

-6,t,anti_top,-0.6666666666666666,0,T,172500.0,700.0,700.0,1420.0,150.0,190.0

-5,b,anti_bottom,0.3333333333333333,0,B,4180.0,20.0,30.0,-,-,-

-4,c,anti_charm,-0.6666666666666666,0,C,1270.0,20.0,20.0,-,-,-

-3,s,anti_strange,0.3333333333333333,0,S,93.4,3.4,8.6,-,-,-

-2,u,anti_up,-0.6666666666666666,0,U,2.16,0.3,0.5,-,-,-

-1,d,anti_down,0.3333333333333333,0,D,4.67,0.2,0.5,-,-,-

1,d,down,-0.3333333333333333,0,d,4.67,0.2,0.5,-,-,-

2,u,up,0.6666666666666666,0,u,2.16,0.3,0.5,-,-,-

3,s,strange,-0.3333333333333333,0,s,93.4,3.4,8.6,-,-,-

4,c,charm,0.6666666666666666,0,c,1270.0,20.0,20.0,-,-,-

5,b,bottom,-0.3333333333333333,0,b,4180.0,20.0,30.0,-,-,-

6,t,top,0.6666666666666666,0,t,172500.0,700.0,700.0,1420.0,150.0,190.0

11,e,electron,-1.0,0,-,0.51099895,1.5e-10,1.5e-10,0.0,0.0,0.0

12,nu(e),electron_neutrino,0.0,0,-,-,-,-,0.0,0.0,0.0

